"date","weighted","close","high","low","open","volume"
"2021-04-28 04:04:00","2598.57","2604.56","2615.45","2580.96","2592.23","40780834.01"
"2021-04-28 05:04:00","2623.76","2636.33","2639.82","2595.12","2604.56","34014570.62"
"2021-04-28 06:04:00","2681.76","2693.41","2708.6","2636.2","2636.33","121957576.3"
"2021-04-28 07:04:00","2715.86","2724.69","2733.59","2683.51","2693.41","100866063.1"
"2021-04-28 08:04:00","2694.54","2708.13","2726.96","2671.92","2724.69","107416678.79"
"2021-04-28 09:04:00","2714.48","2710.7","2729.62","2699.1","2708.13","120258438.77"
"2021-04-28 10:04:00","2684.28","2683.56","2718.48","2660.12","2710.7","126797154.27"
"2021-04-28 11:04:00","2702.89","2718.63","2727.28","2671.9","2683.56","107162727"
"2021-04-28 12:04:00","2718.17","2715.08","2730.68","2703.62","2718.63","80430207.82"
"2021-04-28 13:04:00","2727.54","2727.48","2740.24","2710.97","2715.08","88891291.62"
"2021-04-28 14:04:00","2732.13","2741.27","2746.5","2716.7","2727.48","74230300.56"
"2021-04-28 15:04:00","2714.06","2707.85","2751.02","2671.48","2741.27","224881863.32"
"2021-04-28 16:04:00","2729.37","2757.81","2761.68","2698.01","2707.85","103371593.09"
"2021-04-28 17:04:00","2732.57","2713.66","2761.78","2707.39","2757.81","87392559.01"
"2021-04-28 18:04:00","2734.88","2750.91","2752.06","2711.03","2713.66","52874337.07"
"2021-04-28 19:04:00","2738.89","2725.9","2757.65","2719.46","2750.91","65691751.77"
"2021-04-28 20:04:00","2716.6","2725.81","2729.77","2701.6","2725.9","69926589.52"
"2021-04-28 21:04:00","2719.05","2722.53","2738.95","2708.42","2725.81","42171067.83"
"2021-04-28 22:04:00","2717.28","2717.78","2722.54","2713.81","2722.53","2287625.43"
"2021-04-30 11:04:00","2775.07","2775.07","2776.21","2708.11","2736.1","189492088.26"
"2021-04-30 12:04:00","2765.47","2760.88","2775","2754.44","2775","51966331.12"
"2021-04-30 13:04:00","2766.77","2779.6","2779.75","2758.36","2760.88","44034961.72"
"2021-04-30 14:04:00","2782.65","2787.52","2788.89","2776.61","2779.6","56103312.7"
"2021-04-30 15:04:00","2768.2","2764.36","2787.54","2754.94","2787.52","72745418.19"
"2021-04-30 16:04:00","2757.37","2757.22","2766.72","2747.59","2764.36","32455621.29"
"2021-04-30 17:04:00","2751.6","2748.4","2758.13","2741.32","2757.22","34685711.13"
"2021-04-30 18:04:00","2774.69","2774.69","2777.58","2766.03","2748.15","74754304.95"
"2021-04-30 19:04:00","2771.43","2771.43","2785.32","2763.91","2774.69","114995793.29"
"2021-04-30 20:04:00","2791.73","2791.73","2802.84","2769.51","2771.43","109416252.71"
"2021-04-30 21:04:00","2823.54","2827.4","2840.06","2798.04","2798.04","131526211.84"
"2021-04-30 22:04:00","2840.28","2842.21","2849.23","2824.27","2827.4","47901276.02"
"2021-04-30 23:04:00","2841.94","2846.27","2847.31","2835.72","2842.21","34044080.69"
"2021-04-30 24:04:00","2854.56","2850.8","2869.84","2840.53","2846.27","64870572.17"
"2021-05-01 01:05:00","2854.41","2856.36","2867.69","2842.97","2850.8","28737925.28"
"2021-05-01 02:05:00","2854.41","2860.21","2866.01","2846.7","2856.36","36646654.45"
"2021-05-01 03:05:00","2853.31","2833.43","2868.03","2833.19","2860.21","29009225.95"
"2021-05-01 04:05:00","2828.78","2835.32","2844.2","2808.87","2833.43","44823986.14"
"2021-05-01 05:05:00","2836.52","2845.71","2846.62","2826.74","2835.32","24774487.67"
"2021-05-01 06:05:00","2855.88","2860.08","2861.27","2845.63","2845.71","45440807.94"
"2021-05-01 07:05:00","2874.21","2873.4","2882.55","2857.77","2860.08","50608984.48"
"2021-05-01 08:05:00","2871.53","2873.66","2880.08","2858.9","2873.4","35912960.82"
"2021-05-01 09:05:00","2865.42","2857.32","2878.74","2853.01","2873.66","40218896.59"
"2021-05-01 10:05:00","2853.1","2867.67","2867.67","2842.22","2857.32","47510722.3"
"2021-05-01 11:05:00","2887.3","2895.98","2900.18","2867.51","2867.67","65594333.38"
